Sp.;Size;Number;Type;Morfology;Sp._wet;Size_wet;Sp._Size;H. state_wet;Sp._Size_H.state_wet;_wet;Label_wet;Area_wet;StdDev_wet;X_wet;Y_wet;XM_wet;YM_wet;Perim._wet;BX_wet;BY_wet;Width_wet;Height_wet;Major_wet;Minor_wet;Angle_wet;Circ._wet;AR_wet;Round_wet;Solidity_wet;Feret_wet;FeretAngle_wet;MinFeret_wet;FeretX_wet;FeretY_wet;IntDen_wet;RawIntDen_wet;Median_wet;Skew_wet;Kurt_wet;%Area_wet;Slice_wet;;Sp._dry;Size_dry;Sp._Size_dry;H. state_dry;Sp._Size_H.state_dry;_dry;Label_dry;Area_dry;StdDev_dry;X_dry;Y_dry;XM_dry;YM_dry;Perim._dry;BX_dry;BY_dry;Width_dry;Height_dry;Major_dry;Minor_dry;Angle_dry;Circ._dry;AR_dry;Round_dry;Solidity_dry;Feret_dry;FeretAngle_dry;MinFeret_dry;FeretX_dry;FeretY_dry;IntDen_dry;RawIntDen_dry;Median_dry;Skew_dry;Kurt_dry;%Area_dry;Slice_dry;Index of viability;Number shoots;Index1;Index2;Index of contamination;Interaccion
S. ruralis;Small;27;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;27;SYPH (27).jpg;2,83E-03;2,50E+01;1,34E-01;1,74E-01;1,35E-01;1,75E-01;2,68E-01;1,15E-01;1,18E-01;4,75E-02;1,10E-01;1,04E-01;3,45E-02;8,59E+01;4,98E-01;3,02E+00;3,31E-01;7,95E-01;1,15E-01;7,22E+01;4,05E-02;1,23E+02;2,20E+02;2,50E-01;2,34E+05;8,50E+01;2,23E+00;9,72E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;27;SYPS (27).jpg;1,61E-03;1,99E+01;1,32E-01;1,32E-01;1,33E-01;1,32E-01;2,29E-01;9,41E-02;1,02E-01;8,16E-02;6,80E-02;8,94E-02;2,29E-02;4,75E+01;3,85E-01;3,90E+00;2,56E-01;6,45E-01;9,34E-02;3,41E+01;3,23E-02;9,00E+01;1,53E+02;1,49E-01;1,37E+05;9,20E+01;-9,56E-02;7,45E-01;0,00E+00;1,00E+00;6;0;5,5;5,5;2;SY-Small
S. ruralis;Small;8;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;8;SYPH (8).jpg;4,61E-03;2,24E+01;8,53E-02;1,08E-01;8,54E-02;1,09E-01;4,54E-01;4,19E-02;4,40E-02;8,91E-02;1,11E-01;9,13E-02;6,43E-02;8,36E+01;2,82E-01;1,42E+00;7,04E-01;7,18E-01;1,13E-01;5,75E+01;8,07E-02;4,00E+01;1,33E+02;3,92E-01;3,57E+05;8,00E+01;3,52E+00;1,77E+01;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;8;SYPS (8).jpg;2,03E-03;1,65E+01;9,93E-02;1,08E-01;9,91E-02;1,09E-01;2,22E-01;7,63E-02;6,77E-02;5,05E-02;7,85E-02;8,74E-02;2,95E-02;6,62E+01;5,18E-01;2,96E+00;3,38E-01;9,37E-01;9,34E-02;5,72E+01;3,05E-02;7,10E+01;1,36E+02;2,35E-01;2,04E+05;1,14E+02;1,06E+00;1,82E+00;0,00E+00;1,00E+00;6;0;5,75;5,75;1;SY-Small
S. ruralis;Small;4;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;4;SYPH (4).jpg;4,29E-03;3,87E+01;9,40E-02;1,69E-01;9,79E-02;1,74E-01;3,02E-01;5,68E-02;1,19E-01;7,23E-02;1,08E-01;1,14E-01;4,80E-02;1,19E+02;5,90E-01;2,37E+00;4,22E-01;9,26E-01;1,26E-01;1,21E+02;5,03E-02;5,70E+01;1,15E+02;3,06E-01;2,86E+05;6,10E+01;2,76E+00;8,97E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;4;SYPS (4).jpg;1,30E-03;1,82E+01;1,03E-01;1,30E-01;1,03E-01;1,30E-01;2,08E-01;8,92E-02;8,07E-02;2,55E-02;9,24E-02;7,77E-02;2,12E-02;9,05E+01;3,77E-01;3,66E+00;2,73E-01;8,67E-01;9,24E-02;9,13E+01;2,37E-02;9,80E+01;7,60E+01;1,00E-01;8,89E+04;7,90E+01;-3,39E-01;1,97E-01;0,00E+00;1,00E+00;2;0;1,5;1,5;2;SY-Small
S. ruralis;Small;6;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;6;SYPH (6).jpg;3,16E-03;4,36E+01;1,18E-01;1,92E-01;1,21E-01;1,93E-01;3,07E-01;7,85E-02;1,40E-01;6,51E-02;1,19E-01;1,11E-01;3,61E-02;1,13E+02;4,21E-01;3,09E+00;3,24E-01;7,53E-01;1,30E-01;1,14E+02;5,04E-02;7,70E+01;1,35E+02;2,39E-01;2,24E+05;7,30E+01;2,20E+00;6,45E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;6;SYPS (6).jpg;1,43E-03;1,57E+01;8,45E-02;1,09E-01;8,49E-02;1,11E-01;2,23E-01;6,90E-02;6,37E-02;2,76E-02;9,02E-02;8,57E-02;2,12E-02;9,53E+01;3,59E-01;4,05E+00;2,47E-01;7,18E-01;9,05E-02;9,47E+01;2,73E-02;7,10E+01;6,00E+01;1,10E-01;9,72E+04;7,70E+01;-5,85E-01;1,42E+00;0,00E+00;1,00E+00;6;0;5,25;5,25;3;SY-Small
S. ruralis;Small;17;L;F. Apical;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;17;SYPH (17).jpg;3,57E-03;1,60E+01;1,13E-01;1,07E-01;1,13E-01;1,09E-01;2,56E-01;9,16E-02;5,15E-02;4,43E-02;1,08E-01;1,12E-01;4,06E-02;8,60E+01;6,88E-01;2,76E+00;3,62E-01;9,64E-01;1,08E-01;9,06E+01;3,99E-02;1,08E+02;5,00E+01;1,42E-01;1,34E+05;3,70E+01;2,12E+00;7,34E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;17;SYPS (17).jpg;9,67E-04;1,43E+01;1,17E-01;1,43E-01;1,17E-01;1,43E-01;1,92E-01;1,00E-01;1,02E-01;4,75E-02;7,85E-02;7,21E-02;1,71E-02;6,35E+01;3,31E-01;4,22E+00;2,37E-01;7,59E-01;8,87E-02;6,22E+01;2,19E-02;1,03E+02;1,75E+02;6,37E-02;5,97E+04;6,90E+01;-5,37E-01;1,45E+00;0,00E+00;1,00E+00;6;0;5,25;5,25;3;SY-Small
S. ruralis;Small;28;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;28;SYPH (28).jpg;2,60E-03;1,73E+01;1,58E-01;1,08E-01;1,59E-01;1,05E-01;2,34E-01;1,36E-01;6,69E-02;4,81E-02;8,79E-02;9,49E-02;3,48E-02;7,05E+01;5,96E-01;2,72E+00;3,67E-01;9,20E-01;9,92E-02;6,24E+01;4,10E-02;1,31E+02;1,48E+02;1,31E-01;1,19E+05;4,80E+01;5,96E-01;6,13E-01;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;28;SYPS (28).jpg;1,43E-03;2,67E+01;9,95E-02;1,39E-01;1,00E-01;1,38E-01;1,90E-01;8,47E-02;1,00E-01;2,93E-02;8,16E-02;8,19E-02;2,22E-02;1,01E+02;4,99E-01;3,69E+00;2,71E-01;9,18E-01;8,18E-02;9,37E+01;2,44E-02;9,50E+01;9,60E+01;1,10E-01;1,01E+05;8,50E+01;-6,46E-01;-5,07E-01;0,00E+00;1,00E+00;6;0;5,25;6,75;3;SY-Small
S. ruralis;Small;29;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;29;SYPH (29).jpg;1,13E-03;1,70E+01;1,29E-01;1,72E-01;1,29E-01;1,72E-01;1,59E-01;1,15E-01;1,36E-01;3,00E-02;6,41E-02;6,02E-02;2,39E-02;8,74E+01;5,59E-01;2,52E+00;3,97E-01;8,83E-01;6,45E-02;8,36E+01;2,80E-02;1,23E+02;1,94E+02;1,05E-01;9,84E+04;8,80E+01;1,23E+00;3,19E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;29;SYPS (29).jpg;1,40E-03;3,34E+01;8,78E-02;1,10E-01;8,94E-02;1,13E-01;1,90E-01;6,40E-02;7,79E-02;4,48E-02;6,08E-02;6,82E-02;2,62E-02;1,15E+02;4,89E-01;2,61E+00;3,84E-01;8,34E-01;7,13E-02;1,29E+02;2,94E-02;6,00E+01;7,50E+01;1,56E-01;1,37E+05;1,07E+02;2,06E-01;-4,47E-01;0,00E+00;1,00E+00;6;0;5,75;5,75;1;SY-Small
S. ruralis;Small;15;L;F. Apical;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;15;SYPH (15).jpg;1,41E-03;1,46E+01;1,14E-01;1,16E-01;1,14E-01;1,15E-01;2,11E-01;8,47E-02;8,78E-02;6,09E-02;7,44E-02;6,98E-02;2,57E-02;5,67E+01;3,99E-01;2,71E+00;3,69E-01;8,78E-01;9,38E-02;4,95E+01;3,13E-02;8,20E+01;1,57E+02;9,70E-02;9,09E+04;7,00E+01;2,52E+00;1,77E+01;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;15;SYPS (15).jpg;1,22E-03;2,79E+01;8,97E-02;9,26E-02;8,97E-02;9,14E-02;1,78E-01;7,01E-02;5,86E-02;3,77E-02;6,90E-02;6,38E-02;2,43E-02;1,04E+02;4,83E-01;2,63E+00;3,81E-01;8,03E-01;7,06E-02;1,02E+02;3,03E-02;8,90E+01;5,60E+01;1,26E-01;1,16E+05;1,07E+02;-3,17E-01;1,18E-01;0,00E+00;1,00E+00;6;0;5,75;5,75;1;SY-Small
S. ruralis;Small;11;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;11;SYPH (11).jpg;1,55E-03;2,50E+01;7,19E-02;6,96E-02;7,31E-02;6,79E-02;1,94E-01;5,30E-02;4,38E-02;4,49E-02;5,30E-02;5,24E-02;3,78E-02;8,09E+01;5,18E-01;1,39E+00;7,21E-01;8,20E-01;5,66E-02;1,18E+02;4,44E-02;6,10E+01;4,60E+01;1,35E-01;1,29E+05;8,10E+01;1,23E+00;2,11E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;11;SYPS (11).jpg;9,39E-04;2,62E+01;7,17E-02;1,52E-01;7,23E-02;1,53E-01;1,47E-01;4,18E-02;1,32E-01;5,23E-02;4,18E-02;5,06E-02;2,36E-02;1,34E+02;5,45E-01;2,14E+00;4,67E-01;8,71E-01;6,21E-02;1,47E+02;2,33E-02;4,00E+01;1,26E+02;8,37E-02;7,65E+04;8,60E+01;1,10E-02;-5,85E-01;0,00E+00;1,00E+00;6;0;5,25;5,25;3;SY-Small
S. ruralis;Small;7;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;7;SYPH (7).jpg;1,55E-03;3,42E+01;1,08E-01;1,02E-01;1,10E-01;1,00E-01;1,76E-01;9,12E-02;7,23E-02;4,19E-02;6,50E-02;7,06E-02;2,80E-02;7,16E+01;6,32E-01;2,52E+00;3,96E-01;8,88E-01;7,01E-02;5,85E+01;3,23E-02;9,00E+01;1,28E+02;1,42E-01;1,29E+05;8,50E+01;1,97E+00;5,35E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;7;SYPS (7).jpg;1,09E-03;1,41E+01;4,98E-02;1,03E-01;4,91E-02;1,03E-01;1,57E-01;2,17E-02;8,16E-02;5,89E-02;4,55E-02;5,89E-02;2,35E-02;3,00E+01;5,55E-01;2,50E+00;4,00E-01;8,47E-01;6,02E-02;1,19E+01;2,63E-02;2,10E+01;1,03E+02;1,05E-01;9,81E+04;9,80E+01;-1,64E-01;-2,42E-01;0,00E+00;1,00E+00;6;0;5,5;5,5;2;SY-Small
S. ruralis;Small;14;L;F. Apical;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;14;SYPH (14).jpg;1,73E-03;1,80E+01;7,58E-02;8,22E-02;7,63E-02;8,13E-02;1,90E-01;5,98E-02;4,93E-02;3,56E-02;7,65E-02;7,59E-02;2,89E-02;8,39E+01;6,01E-01;2,62E+00;3,81E-01;9,17E-01;7,77E-02;7,99E+01;3,46E-02;6,20E+01;1,20E+02;1,27E-01;1,16E+05;7,10E+01;9,32E-01;1,94E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;14;SYPS (14).jpg;9,24E-04;1,95E+01;7,00E-02;1,21E-01;6,96E-02;1,21E-01;1,42E-01;5,65E-02;9,31E-02;2,93E-02;5,65E-02;5,89E-02;2,00E-02;1,04E+02;5,74E-01;2,95E+00;3,39E-01;8,89E-01;5,86E-02;1,06E+02;2,19E-02;6,70E+01;8,90E+01;9,94E-02;9,09E+04;1,12E+02;-9,21E-01;1,25E-01;0,00E+00;1,00E+00;6;0;5,25;5,25;3;SY-Small
S. ruralis;Small;30;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;30;SYPH (30).jpg;1,51E-03;2,70E+01;9,20E-02;1,16E-01;9,18E-02;1,17E-01;1,60E-01;7,01E-02;8,68E-02;4,71E-02;5,96E-02;6,25E-02;3,07E-02;6,35E+01;7,44E-01;2,04E+00;4,91E-01;9,60E-01;6,15E-02;7,22E+01;3,00E-02;7,80E+01;1,40E+02;1,44E-01;1,31E+05;8,60E+01;2,17E+00;7,61E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;30;SYPS (30).jpg;6,88E-04;2,34E+01;1,12E-01;9,48E-02;1,13E-01;9,62E-02;1,11E-01;9,83E-02;7,42E-02;3,03E-02;4,29E-02;3,93E-02;2,23E-02;1,22E+02;7,06E-01;1,77E+00;5,66E-01;9,16E-01;4,41E-02;1,04E+02;2,41E-02;1,02E+02;7,10E+01;6,84E-02;6,26E+04;1,05E+02;-6,86E-01;-5,91E-01;0,00E+00;1,00E+00;4;0;3,5;3,5;2;SY-Small
S. ruralis;Small;18;S;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;18;SYPH (18).jpg;8,71E-04;2,40E+01;8,09E-02;7,80E-02;8,17E-02;7,63E-02;1,17E-01;6,44E-02;5,49E-02;3,14E-02;4,32E-02;4,40E-02;2,52E-02;7,03E+01;8,05E-01;1,75E+00;5,72E-01;9,64E-01;4,57E-02;7,09E+01;2,60E-02;9,50E+01;1,25E+02;4,83E-02;7,85E+04;5,50E+01;9,64E-01;2,65E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;18;SYPS (18).jpg;5,44E-04;2,47E+01;7,36E-02;8,23E-02;7,32E-02;8,21E-02;1,04E-01;5,12E-02;6,91E-02;3,73E-02;2,64E-02;3,42E-02;2,02E-02;2,40E+01;6,33E-01;1,69E+00;5,91E-01;8,99E-01;4,03E-02;2,76E+01;2,14E-02;6,60E+01;1,13E+02;4,48E-02;7,43E+04;8,30E+01;-2,13E-01;-4,55E-01;0,00E+00;1,00E+00;6;0;7,25;8,75;1;SY-Small
S. ruralis;Small;5;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;5;SYPH (5).jpg;9,66E-04;1,94E+01;1,25E-01;1,27E-01;1,25E-01;1,27E-01;1,43E-01;1,09E-01;1,04E-01;3,10E-02;4,96E-02;4,35E-02;2,82E-02;9,41E+01;5,96E-01;1,54E+00;6,49E-01;8,46E-01;5,41E-02;1,14E+02;3,07E-02;1,14E+02;1,01E+02;1,04E-01;9,75E+04;1,13E+02;-1,07E+00;1,02E+00;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;5;SYPS (5).jpg;8,02E-04;1,28E+01;7,12E-02;1,11E-01;7,15E-02;1,11E-01;1,16E-01;5,48E-02;9,25E-02;3,12E-02;3,98E-02;3,72E-02;2,75E-02;9,99E+01;7,46E-01;1,35E+00;7,40E-01;9,27E-01;3,98E-02;8,69E+01;2,75E-02;6,70E+01;1,23E+02;8,59E-02;7,43E+04;1,08E+02;-6,06E-02;-2,33E+00;0,00E+00;1,00E+00;6;0;5,75;5,75;1;SY-Small
S. ruralis;Small;19;L;F. Intermedio;S. ruralis;Small;S. ruralis Small;Wet;S. ruralis-Small-Wet;19;SYPH (19).jpg;3,20E-03;1,99E+01;1,07E-01;1,39E-01;1,07E-01;1,37E-01;2,92E-01;8,46E-02;6,53E-02;3,98E-02;1,30E-01;1,23E-01;3,32E-02;8,44E+01;4,72E-01;3,70E+00;2,70E-01;9,70E-01;1,30E-01;9,27E+01;3,58E-02;1,10E+02;6,40E+01;2,35E-01;2,26E+05;7,10E+01;3,78E-01;-1,56E-01;0,00E+00;1,00E+00;;S. ruralis;Small;S. ruralis-Small;Dry;S. ruralis-Small-Dry;19;SYPS (19).jpg;1,91E-03;3,02E+01;9,84E-02;1,75E-01;9,82E-02;1,73E-01;2,25E-01;8,06E-02;1,26E-01;4,34E-02;9,19E-02;9,32E-02;2,62E-02;1,06E+02;0,475;3,564;0,281;0,793;9,47E-02;1,08E+02;3,19E-02;8,40E+01;1,23E+02;1,71E-01;1,60E+05;9,20E+01;-4,58E-01;-2,38E-01;0,00E+00;1,00E+00;6;0;5,25;5,25;3;SY-Small
T. squarrosa;Large;1;S;햜ice;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;1;TOGH (1).jpg;2,83E-02;2,68E+01;1,91E-01;1,85E-01;1,83E-01;1,91E-01;1,31E+00;9,57E-02;6,99E-02;2,35E-01;3,00E-01;2,34E-01;1,54E-01;4,99E+01;2,06E-01;1,53E+00;6,56E-01;6,27E-01;3,03E-01;9,78E+01;1,93E-01;1,46E+02;6,50E+01;2,40E+00;2,07E+06;8,10E+01;8,87E-01;1,55E+00;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;1;TOGS (1).jpg;1,11E-02;3,76E+01;1,37E-01;1,42E-01;1,35E-01;1,46E-01;6,73E-01;4,55E-02;6,72E-02;1,50E-01;1,80E-01;1,50E-01;9,43E-02;1,05E+02;3,08E-01;1,59E+00;6,30E-01;6,67E-01;1,85E-01;1,04E+02;1,28E-01;8,20E+01;6,50E+01;1,42E+00;1,33E+06;1,34E+02;-5,68E-01;1,72E-01;0,00E+00;1,00E+00;6;0;9;9;2;TO-Large
T. squarrosa;Large;2;S;햜ice;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;2;TOGH (2).jpg;1,11E-02;2,06E+01;2,01E-01;1,95E-01;1,97E-01;1,98E-01;9,40E-01;1,31E-01;9,87E-02;1,72E-01;1,98E-01;1,39E-01;1,02E-01;1,03E+02;1,58E-01;1,36E+00;7,35E-01;5,48E-01;2,02E-01;1,04E+02;1,61E-01;1,40E+02;9,50E+01;9,88E-01;8,78E+05;8,80E+01;1,64E-01;1,41E+00;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;2;TOGS (2).jpg;6,15E-03;2,88E+01;1,02E-01;1,18E-01;1,01E-01;1,19E-01;5,67E-01;6,42E-02;4,90E-02;1,01E-01;1,36E-01;1,23E-01;6,38E-02;7,03E+01;2,40E-01;1,93E+00;5,19E-01;6,70E-01;1,45E-01;4,93E+01;9,41E-02;6,50E+01;1,68E+02;7,75E-01;6,55E+05;1,32E+02;-7,55E-01;3,78E-01;0,00E+00;1,00E+00;6;0;9;10,5;2;TO-Large
T. squarrosa;Large;3;S;햜ice;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;3;TOGH (3).jpg;2,82E-02;2,83E+01;2,23E-01;1,77E-01;2,16E-01;1,79E-01;1,58E+00;6,73E-02;4,08E-02;3,31E-01;2,54E-01;2,13E-01;1,69E-01;1,56E+02;1,43E-01;1,26E+00;7,94E-01;5,80E-01;3,49E-01;1,61E+02;2,15E-01;6,60E+01;7,90E+01;2,34E+00;2,24E+06;7,70E+01;2,12E+00;8,43E+00;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;3;TOGS (3).jpg;1,43E-02;3,40E+01;1,89E-01;1,53E-01;1,88E-01;1,58E-01;9,42E-01;3,55E-02;6,67E-02;2,47E-01;1,85E-01;1,40E-01;1,30E-01;9,69E+01;2,02E-01;1,07E+00;9,33E-01;5,25E-01;2,48E-01;4,97E+00;1,72E-01;3,30E+01;1,43E+02;1,57E+00;1,36E+06;1,11E+02;9,21E-02;-1,63E-01;0,00E+00;1,00E+00;6;0;8,75;8,75;3;TO-Large
T. squarrosa;Large;4;S;햜ice;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;4;TOGH (4).jpg;3,01E-02;2,25E+01;2,47E-01;2,48E-01;2,41E-01;2,48E-01;2,27E+00;8,05E-02;1,14E-01;3,21E-01;2,70E-01;2,31E-01;1,65E-01;1,35E+02;7,34E-02;1,40E+00;7,15E-01;4,92E-01;3,55E-01;1,49E+02;2,47E-01;9,00E+01;1,09E+02;2,57E+00;2,34E+06;8,20E+01;1,95E+00;9,23E+00;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;4;TOGS (4).jpg;1,29E-02;3,09E+01;1,68E-01;1,81E-01;1,66E-01;1,80E-01;8,62E-01;9,89E-02;9,14E-02;1,77E-01;2,03E-01;1,81E-01;9,07E-02;6,15E+01;2,18E-01;1,99E+00;5,03E-01;5,97E-01;2,22E-01;5,69E+01;1,30E-01;1,44E+02;2,74E+02;1,27E+00;1,10E+06;1,01E+02;-1,52E-01;-4,32E-01;0,00E+00;1,00E+00;6;0;8,75;8,75;3;TO-Large
T. squarrosa;Large;5;S;F. Intermedio;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;5;TOGH (5).jpg;2,32E-02;1,82E+01;2,29E-01;2,75E-01;2,24E-01;2,82E-01;1,41E+00;1,03E-01;1,02E-01;2,19E-01;3,50E-01;2,66E-01;1,11E-01;7,23E+01;1,46E-01;2,39E+00;4,18E-01;4,80E-01;3,52E-01;8,39E+01;1,85E-01;1,45E+02;4,21E+02;1,65E+00;1,43E+06;6,70E+01;2,38E+00;1,57E+01;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;5;TOGS (5).jpg;1,20E-02;2,93E+01;1,55E-01;1,88E-01;1,56E-01;1,93E-01;8,13E-01;1,01E-01;5,56E-02;1,39E-01;3,06E-01;2,93E-01;5,22E-02;7,33E+01;2,28E-01;5,61E+00;1,78E-01;6,08E-01;3,24E-01;6,91E+01;8,02E-02;9,40E+01;3,31E+02;1,29E+00;1,08E+06;1,11E+02;-3,51E-01;-3,31E-01;0,00E+00;1,00E+00;6;7;8;8;2;TO-Large
T. squarrosa;Large;6;S;F. Intermedio;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;6;TOGH (6).jpg;3,15E-02;2,97E+01;1,73E-01;2,77E-01;1,72E-01;2,80E-01;1,63E+00;9,55E-02;2,23E-02;1,51E-01;5,41E-01;4,42E-01;9,06E-02;8,14E+01;1,50E-01;4,88E+00;2,05E-01;5,47E-01;5,50E-01;7,97E+01;1,44E-01;1,10E+02;5,31E+02;3,08E+00;2,74E+06;9,40E+01;6,90E-01;1,30E+00;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;6;TOGS (6).jpg;2,15E-02;3,54E+01;2,53E-01;2,31E-01;2,52E-01;2,31E-01;1,29E+00;9,30E-02;4,13E-02;2,69E-01;3,97E-01;4,11E-01;6,64E-02;5,97E+01;1,62E-01;6,19E+00;1,62E-01;5,43E-01;4,62E-01;5,91E+01;1,16E-01;9,60E+01;4,24E+02;2,50E+00;2,35E+06;1,25E+02;-6,33E-01;-2,62E-01;0,00E+00;1,00E+00;2;8;3,75;5,25;3;TO-Large
T. squarrosa;Large;7;L;F. Apical;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;7;TOGH (7).jpg;1,75E-02;3,64E+01;2,51E-01;2,75E-01;2,50E-01;2,62E-01;1,06E+00;1,39E-01;1,01E-01;1,54E-01;3,55E-01;2,90E-01;7,69E-02;9,26E+01;1,98E-01;3,77E+00;2,65E-01;4,95E-01;3,55E-01;8,60E+01;1,36E-01;2,19E+02;4,24E+02;1,64E+00;1,42E+06;8,80E+01;1,72E+00;4,64E+00;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;7;TOGS (7).jpg;7,06E-03;2,21E+01;1,49E-01;1,23E-01;1,51E-01;1,23E-01;7,03E-01;5,71E-02;4,44E-02;1,65E-01;1,41E-01;1,40E-01;6,43E-02;3,67E+01;1,80E-01;2,18E+00;4,60E-01;5,58E-01;1,96E-01;3,69E+01;9,78E-02;5,40E+01;1,65E+02;7,81E-01;6,98E+05;1,13E+02;-4,25E-01;1,70E+00;0,00E+00;1,00E+00;6;0;5,5;5,5;2;TO-Large
T. squarrosa;Large;8;S;F. Intermedio;T. squarrosa;Large;T. squarrosa Large;Wet;T. squarrosa-Large-Wet;8;TOGH (8).jpg;1,54E-02;2,35E+01;1,72E-01;2,33E-01;1,69E-01;2,29E-01;8,82E-01;1,09E-01;1,30E-01;1,77E-01;2,70E-01;1,90E-01;1,03E-01;8,67E+01;2,49E-01;1,85E+00;5,41E-01;5,57E-01;2,71E-01;9,96E+01;1,67E-01;1,21E+02;1,24E+02;1,13E+00;9,73E+05;7,00E+01;2,08E+00;1,13E+01;0,00E+00;1,00E+00;;T. squarrosa;Large;T. squarrosa-Large;Dry;T. squarrosa-Large-Dry;8;TOGS (8).jpg;8,88E-03;2,29E+01;1,32E-01;1,28E-01;1,34E-01;1,26E-01;7,76E-01;5,48E-02;3,23E-02;1,55E-01;2,26E-01;2,16E-01;5,24E-02;5,96E+01;1,86E-01;4,13E+00;2,42E-01;6,76E-01;2,47E-01;6,37E+01;7,84E-02;5,10E+01;2,36E+02;8,16E-01;7,06E+05;9,30E+01;-1,24E-02;6,33E-01;0,00E+00;1,00E+00;6;4;7,75;9,25;3;TO-Large
